f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16
82.0928134198526,125.18862572643062,46.785532124498246,105.65601009127204,92.2634860402302,53.64177111601408,114.46081630014864,118.08592347163082,104.4900427177834,106.72150246235864,118.15658007664072,54.48667459460283,33.9564631975265,52.72469908975361,82.43693320541348,32.20436900786299,119.9305844007711
83.67776740967334,124.69844025921095,46.1736020636648,103.66228451361906,92.24112216258713,51.831794911900914,115.16476864550452,117.75425231257296,105.23033222633389,107.21217234213313,120.23349680454305,53.425844713055945,34.63795294322489,50.95557697818008,85.06948088619693,32.06623715908795,119.78420818765395
82.38512424058268,124.33289244048893,44.61928297572775,102.71919370847324,91.94018273633833,52.961173766418355,115.79428084300858,118.58068954173002,106.29765044850835,104.97188422941247,117.58140353698444,55.190336984965164,34.135753829476485,53.608089662000964,84.70498131133272,33.360923377591135,117.53303211482047
83.89262947150617,123.89474286599882,45.044653555282295,102.58523536559453,90.60125911839414,51.65591945868868,114.75078588558942,117.672374816722,105.13840194575167,105.74181520146367,119.46095561542029,53.65061002676699,32.98092721463193,53.1270122393718,82.75055627720008,34.94511561448679,118.84666354248385
82.09301277459512,123.18264584487717,45.51687732124871,102.4301716516016,89.90840033031273,53.263740530766384,113.98451665998822,117.97262355441484,106.81787351221656,104.94539553053316,118.24167287948175,55.45741564871914,33.93562194919903,53.34490233504473,83.91991266464751,32.75861986835579,120.43351548728992
84.06579370854931,121.50124085836129,47.480328561172165,105.15872852336311,93.23177837671611,51.78567551674381,113.31080578953575,118.72783311416586,105.38093063964504,106.35615983038937,118.97811912566124,56.21805043775651,33.61054197569652,52.557197655094356,84.37822661474085,34.93383980092812,119.08097080594457
82.58354363644862,124.85750325158811,46.71812827982471,102.04852824935196,91.46383989982098,53.096528856494885,114.42801284098942,115.5303011349324,106.48197913900289,106.92645635862033,118.16241860823689,55.6771860655821,35.87231911732072,53.39637394006444,83.37438370476707,32.47753852046742,119.01303389976655
83.37776959197309,124.06282459973318,46.501596365346174,102.85305460707963,92.18062297374021,52.96481058232843,112.93516884713699,118.10871179962739,106.10576364702776,106.92066671571307,118.77327754445064,55.65304831104976,35.102687465462715,51.150197062835765,85.16863124345053,32.01461820287431,117.90605959093152
80.12054310652762,123.19682233498735,45.99514305534897,102.61667669373409,91.53747313979825,50.88750264567055,114.86722949897644,118.9584138362133,106.41811852195559,104.11347195421436,121.27334515801748,55.14697465045722,34.539609201583666,51.50170436262807,83.98855655253027,33.413354087623645,118.85910144553264
83.87216185935345,125.30034514799654,44.656476235932566,103.85012058212386,92.39433995146483,51.99530400532644,112.42918801647238,119.47984877519855,106.39677428127114,104.21674893783448,118.75686553959298,55.327223386365866,34.506575301672534,52.872395205718625,84.34159080594871,35.118886212229995,120.54653675547151
82.05048095482114,123.40310266843724,45.88879600018973,101.25093056582838,90.65859650205384,50.37830537905651,112.852280027175,119.3896028281466,105.14475948112019,104.9729382410644,119.8828376605094,54.55069561390422,34.418639469172604,52.271820750636664,82.19811203099344,33.467717077498115,117.44856605590935
82.4895067804224,123.26704886495628,46.19534647254697,102.44405510222538,91.87226517153611,50.43944292756273,116.0003480891061,116.79986826226984,107.20138044421769,106.1498337163396,119.14090736807132,55.354419585119665,32.119687411547446,53.966392001972416,83.48905553271304,34.21039863313664,118.84876403450777
82.62547844090953,122.70878388686381,45.23449063419266,103.42231376166407,90.69208570033062,50.00940045042264,113.1424511143389,118.84000537662243,107.78129107702637,105.32258433228525,117.4511713201759,54.6568709358959,34.18385551440956,53.57789713509884,86.13464124800741,33.22684882198079,120.65546162537892
82.53707457793635,124.08656581452256,45.40711726753965,102.31999566588206,91.73659415513272,51.71934512465918,113.39602408050226,117.4507470926357,107.0967962544414,108.11311215695821,118.50159337729356,54.6756045524326,34.52460900063051,56.18703333807297,84.08416352100792,33.97263286689879,120.5444748387078
83.34406813140203,124.92623254288503,46.607838540334804,104.03251279282789,90.96559764351431,52.20428294200133,114.48121772842812,118.46705717272889,107.13701741863346,106.44689014477407,117.8550514799286,55.591316116927985,33.11692134152047,52.30062195160352,83.58149111878957,32.888581223418406,117.45627459730811
84.11689344020168,122.84448408991051,47.570110622038854,101.87504826216714,93.2819203803142,51.971578542400934,112.28357555405603,116.95703860639715,107.32647166831904,106.44864867405201,118.92126831633219,52.78323894551709,35.38956633861496,54.87042389781552,85.68801703236892,32.38475478423051,119.38279946715079
83.49214103393666,122.47254737416559,46.18049250549955,104.0710415241175,92.76447823532571,50.888836187255905,113.13738487843445,118.79059398942414,106.63285243738271,103.74584132048238,116.5434068542266,54.92346793864845,33.41034714331283,52.701698776836295,83.58870940934018,33.98402354456309,119.10356808444234
83.26763601416313,122.65768717349,42.63590447353669,104.12354178169151,94.14320518811388,51.65741113176935,114.24931454162196,118.32451831637455,107.67529324966821,106.88898429427715,119.49606423322588,55.05557215694397,34.06023292148909,51.560538403366266,83.61651247380524,33.88620196612938,118.766296820686
83.04435055749907,122.82387252201093,46.445506901281384,101.53824334396428,92.28988281153713,51.812775043651186,112.25671475278824,119.06947795204087,105.83613473653703,107.86077805411917,120.47825211482247,54.120532159753246,33.20828002134442,51.82802314554956,82.41353638157366,32.577822825049005,120.44374720968577
